month,region,price
17-Jul,U.S.,255.5
17-Jun,U.S.,255
17-May,U.S.,253.6
17-Apr,U.S.,250.5
17-Mar,U.S.,247.1
17-Feb,U.S.,242.9
17-Jan,U.S.,240.2
16-Dec,U.S.,241.5
16-Nov,U.S.,241.9
16-Oct,U.S.,241
16-Sep,U.S.,241.3
16-Aug,U.S.,240.8
16-Jul,U.S.,240.5
16-Jun,U.S.,239.2
16-May,U.S.,237
16-Apr,U.S.,234.1
16-Mar,U.S.,231.6
16-Feb,U.S.,227.8
17-Jul,Pacific ,292.3
17-Jun,Pacific ,293
17-May,Pacific ,291.6
17-Apr,Pacific ,286.9
17-Mar,Pacific ,283.4
17-Feb,Pacific ,276.4
17-Jan,Pacific ,273.8
16-Dec,Pacific ,273.4
16-Nov,Pacific ,274.2
16-Oct,Pacific ,271.6
16-Sep,Pacific ,272.6
16-Aug,Pacific ,269.8
16-Jul,Pacific ,270.5
16-Jun,Pacific ,267.5
16-May,Pacific ,267.2
16-Apr,Pacific ,265.4
16-Mar,Pacific ,261.9
16-Feb,Pacific ,256.4
17-Jul,Mountain,334.3
17-Jun,Mountain,332.8
17-May,Mountain,330.5
17-Apr,Mountain,327.4
17-Mar,Mountain,321.7
17-Feb,Mountain,318.3
17-Jan,Mountain,313
16-Dec,Mountain,311.9
16-Nov,Mountain,312.6
16-Oct,Mountain,311.4
16-Sep,Mountain,309.9
16-Aug,Mountain,309.8
16-Jul,Mountain,308.8
16-Jun,Mountain,307.3
16-May,Mountain,304.6
16-Apr,Mountain,299.8
16-Mar,Mountain,297.5
16-Feb,Mountain,291.6
17-Jul,West North Central,253.7
17-Jun,West North Central,254.7
17-May,West North Central,252.6
17-Apr,West North Central,248.9
17-Mar,West North Central,246.1
17-Feb,West North Central,241
17-Jan,West North Central,240.3
16-Dec,West North Central,241.7
16-Nov,West North Central,242.7
16-Oct,West North Central,241.5
16-Sep,West North Central,241.9
16-Aug,West North Central,242.2
16-Jul,West North Central,243.6
16-Jun,West North Central,240.3
16-May,West North Central,237.8
16-Apr,West North Central,236.3
16-Mar,West North Central,231.7
16-Feb,West North Central,229.4
17-Jul,West South Central,270.4
17-Jun,West South Central,269.8
17-May,West South Central,271.9
17-Apr,West South Central,267.1
17-Mar,West South Central,262.6
17-Feb,West South Central,259.7
17-Jan,West South Central,256.3
16-Dec,West South Central,256.5
16-Nov,West South Central,257.7
16-Oct,West South Central,256.3
16-Sep,West South Central,257.3
16-Aug,West South Central,255.5
16-Jul,West South Central,256.1
16-Jun,West South Central,253.9
16-May,West South Central,252.8
16-Apr,West South Central,249.8
16-Mar,West South Central,248.4
16-Feb,West South Central,243.8
17-Jul,East North Central,213.1
17-Jun,East North Central,212.4
17-May,East North Central,210.4
17-Apr,East North Central,207.4
17-Mar,East North Central,205.5
17-Feb,East North Central,200.1
17-Jan,East North Central,198.5
16-Dec,East North Central,200.4
16-Nov,East North Central,200.8
16-Oct,East North Central,201.2
16-Sep,East North Central,201.7
16-Aug,East North Central,202.6
16-Jul,East North Central,201.3
16-Jun,East North Central,200.9
16-May,East North Central,197.6
16-Apr,East North Central,194.9
16-Mar,East North Central,192.5
16-Feb,East North Central,188.8
17-Jul,East South Central,235.5
17-Jun,East South Central,233.8
17-May,East South Central,230.6
17-Apr,East South Central,229.2
17-Mar,East South Central,228.5
17-Feb,East South Central,225.3
17-Jan,East South Central,220.5
16-Dec,East South Central,225.1
16-Nov,East South Central,223.1
16-Oct,East South Central,220.1
16-Sep,East South Central,222.6
16-Aug,East South Central,223.1
16-Jul,East South Central,221.2
16-Jun,East South Central,219.1
16-May,East South Central,218.7
16-Apr,East South Central,217
16-Mar,East South Central,213.7
16-Feb,East South Central,210.4
17-Jul,New England,246
17-Jun,New England,244.5
17-May,New England,242.7
17-Apr,New England,240.2
17-Mar,New England,236.1
17-Feb,New England,234.1
17-Jan,New England,230.4
16-Dec,New England,230.8
16-Nov,New England,232.7
16-Oct,New England,232
16-Sep,New England,231.5
16-Aug,New England,232.3
16-Jul,New England,231.9
16-Jun,New England,230.4
16-May,New England,229.2
16-Apr,New England,226.1
16-Mar,New England,221.5
16-Feb,New England,219.2
17-Jul,Middle Atlantic,231.2
17-Jun,Middle Atlantic,230.1
17-May,Middle Atlantic,227.9
17-Apr,Middle Atlantic,225.4
17-Mar,Middle Atlantic,222.1
17-Feb,Middle Atlantic,222.6
17-Jan,Middle Atlantic,219.2
16-Dec,Middle Atlantic,219.9
16-Nov,Middle Atlantic,222.9
16-Oct,Middle Atlantic,220.9
16-Sep,Middle Atlantic,221.1
16-Aug,Middle Atlantic,221.8
16-Jul,Middle Atlantic,221.4
16-Jun,Middle Atlantic,220.9
16-May,Middle Atlantic,219.1
16-Apr,Middle Atlantic,213.7
16-Mar,Middle Atlantic,212.4
16-Feb,Middle Atlantic,212.2
17-Jul,South Atlantic,258.2
17-Jun,South Atlantic,257.5
17-May,South Atlantic,256.4
17-Apr,South Atlantic,254.9
17-Mar,South Atlantic,250.3
17-Feb,South Atlantic,245
17-Jan,South Atlantic,243.2
16-Dec,South Atlantic,245.6
16-Nov,South Atlantic,244
16-Oct,South Atlantic,244.5
16-Sep,South Atlantic,243.7
16-Aug,South Atlantic,242.4
16-Jul,South Atlantic,242.1
16-Jun,South Atlantic,242.1
16-May,South Atlantic,238.7
16-Apr,South Atlantic,235.9
16-Mar,South Atlantic,234.1
16-Feb,South Atlantic,229.5